id_reserva,fecha_reserva,destino,nombre_tour,tipo_tour,pax_adultos,pax_ninos,pais_origen,idioma_guia,precio_unitario,ingreso_total,duracion_horas,calificacion,metodo_pago,estado_reserva,id_guia,temporada,mes,anio,email_contacto
RES05530,2021-05-02,Playa del Carmen,Xcaret,Privado,2,1.0,España,Frances,1327.64,3319.1,5.0,2.7,Tarjeta credito,Confirmada,,Media,5,2021,cliente417@outlook.com
RES00711,2021-08-15,Cancun,Laguna Nichupte,Grupal,18,1.0,Mexico,Español,883.19,16339.02,10.3,5.0,Transferencia,Completada,G014,Alta,8,2021,cliente732@hotmail.com
RES04924,2023-10-02,Bacalar,Fuerte de San Felipe,Grupal,7,3.0,Reino Unido,Español,832.0,7072.0,9.5,3.0,Efectivo,Completada,,Media,10,2023,cliente9207@gmail.com
RES02154,2021-11-01,Tulum,Sian Ka'an,Privado,2,1.0,Mexico,Español,1470.93,3677.33,3.0,4.8,Tarjeta credito,Confirmada,G020,Media,11,2021,cliente2190@gmail.com
RES01273,2021-12-25,Chichen Itza,Valladolid + Chichen Itza,Grupal,18,8.0,Estados Unidos,Frances,1358.71,29891.62,4.0,4.0,Paypal,Pendiente,G032,Alta,12,2021,cliente2840@icloud.com
RES02317,2022-05-31,Playa del Carmen,Quinta Avenida + Cozumel,Privado,3,0.0,Canada,Español,1213.44,-3640.32,4.9,5.0,Paypal,Completada,G022,Media,5,2022,cliente9091@icloud.com
RES02095,2023-05-17,Chichen Itza,Chichen Itza + Cenote Ik Kil,Grupal,15,6.0,,Aleman,1209.1,21763.8,2.5,,Efectivo,Completada,G032,Media,5,2023,cliente5873@icloud.com
RES03128,2024-03-31,Holbox,Avistamiento Tiburon Ballena,Privado,1,0.0,Canada,Ingles,,2073.94,9.7,4.2,Tarjeta credito,Completada,G036,Alta,3,2024,cliente2795@gmail.com
RES00743,2021-08-25,Tulum,Cenote Dos Ojos,Grupal,10,1.0,Mexico,Español,1203.65,12638.33,4.3,4.7,Tarjeta debito,Completada,G033,Alta,8,2021,cliente7164@outlook.com
RES00297,2022-08-12,Holbox,Punta Mosquito,Grupal,13,1.0,Canada,Español,1212.94,16374.69,8.7,5.0,Efectivo,Completada,G018,Alta,8,2022,cliente8093@icloud.com
RES03695,2022-05-27,Bacalar,Fuerte de San Felipe,Privado,4,0.0,Estados Unidos,Frances,45000.0,5752.92,8.7,1.0,Tarjeta credito,Completada,G025,Media,5,2022,cliente9371@hotmail.com
RES01143,2024-02-10,Bacalar,Laguna de los 7 Colores,Grupal,11,0.0,Mexico,Ingles,752.53,8277.83,6.1,4.7,Paypal,Completada,G021,Baja,2,2024,cliente9280@yahoo.com
RES00409,2023-10-11,Uxmal,Ruta Puuc,Grupal,16,6.0,Italia,Español,1094.39,20793.41,9.9,4.9,Tarjeta credito,Confirmada,G024,Media,10,2023,cliente9653@outlook.com
RES05286,2022-12-01,Chichen Itza,Chichen Itza + Cenote Ik Kil,Grupal,7,2.0,Reino Unido,Español,1381.47,11051.76,7.6,2.9,Tarjeta credito,Confirmada,G011,Alta,12,2022,cliente9972@hotmail.com
